ParentTypeName,ReferenceName,ItemTypeName
ParameterType,ValueRepresentationReference,
BindingType,SourceParameterReference,ParameterType
BindingType,TargetParameterReference,ParameterType
AbstractVersionableType,VersionResponsibilityReference,Individual Organization
BasedOnObjectType,BasedOnReference,Maintainable Versionable
SchemeReferenceType,Exclude,
CreatorType,CreatorReference,Individual
ContributorType,ContributorReference,Individual
PublisherType,PublisherReference,Organization
FundingInformationType,AgencyOrganizationReference,Organization
EmbargoType,AgencyOrganizationReference,Organization
EmbargoType,EnforcementAgencyOrganizationReference,Organization
LifecycleEventType,AgencyOrganizationReference,Organization
CoverageType,SpatialCoverageReference,GeographicCoverageType
RestrictionProcessType,ProcessingInstructionReference,GenerationInstruction
GeographicCoverageType,GeographyStructureVariableReference,Variable
GeographicCoverageType,SummaryDataReference,GeographicLevelType
GeographicLevelType,ParentGeographicLevelReference,GeographicLevelType
GeographicLevelType,GeographicLayerBaseReference,GeographicLevelType
LocationValueType,SupersedesLocationValue,LocationValueType
LocationValueType,PrecedesLocationValue,LocationValueType
EvaluatorType,EvaluatorReference,Individual Organization
RelationshipType,RelatedToReference,Maintainable Versionable IdentifiableType
ComplianceType,ComplianceConceptReference,Concept
GeographicLocationReferenceType,ExcludedLocationValueReference,LocationValueType
GeographicStructureReferenceType,ExcludedGeographicLevelReference,GeographicLevelType
IncludedGeographicLocationCodesType,ExcludedLocationValueReference,LocationValueType
IncludedGeographicStructureCodesType,ExcludedGeographicLevelReference,GeographicLevelType
ManagedRepresentationGroup,ManagedRepresentationReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
ManagedMissingValuesRepresentation,ProcessingInstructionReference,GeneralInstruction GenerationInstruction
AuthorizationSourceType,AuthorizingAgencyReference,Individual Organization
MeasureDimensionType,NCubeMeasureDefinitionReference,MeasureDefinitionType
ArchiveSpecificType,ArchiveOrganizationReference,Individual Organization
ItemType,OriginalArchiveOrganizationReference,Organization
CollectionType,OriginalArchiveOrganizationReference,Organization
AccessType,ContactOrganizationReference,Individual Organization
GenericMap,SourceSchemeReference,
GenericMap,TargetSchemeReference,
RepresentationMap,ProcessingInstructionReference,GenerationInstruction GeneralInstruction
SourceRepresentationType,ManagedRepresentationReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
TargetRepresentationType,ManagedRepresentationReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
ItemMapType,RelatedMapReference,
CollectionEventType,DataCollectorOrganizationReference,Individual Organization
ProcessingEvent,ProcessingInstructionReference,GenerationInstruction GeneralInstruction
OperationType,AgencyOrganizationReference,Individual Organization
GeneralInstruction,OverriddenCodeReference,GenerationInstruction GeneralInstruction
GenerationInstruction,SourceQuestion,QuestionItem
GenerationInstruction,SourceVariable,Variable
AggregationVariablesType,IndependentVariableReference,Variable
AggregationVariablesType,DependentVariableReference,Variable
ControlConstruct,InterviewerInstructionReference,Instruction
IfThenElse,ThenConstructReference,Sequence
IfThenElse,ElseConstructReference,Sequence
ElseIfType,ThenConstructReference,Sequence
RepeatUntil,UntilConstructReference,Sequence
RepeatWhile,WhileConstructReference,Sequence
Loop,LoopVariableReference,ParameterType
ComputationItem,AssignedVariableReference,ParameterType
ConditionalTextType,SourceParameterReference,ParameterType
QuestionItem,ResponseDomainReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
QuestionItem,InterviewerInstructionReference,Instruction
QuestionBlock,InterviewerInstructionReference,Instruction
ResponseDomainInMixedType,ResponseDomainReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
QuestionGrid,ResponseDomainReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
QuestionGrid,InterviewerInstructionReference,Instruction
GridResponseDomainType,ResponseDomainReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
QuestionConstruct,QuestionReference,QuestionItem
CategoryGroup,DefiningCategoryReference,Category
Category,SubCategoryReference,Category
Variable,SourceParameterReference,ParameterType
Variable,SourceVariableReference,Variable
Variable,QuestionReference,QuestionItem
VariableRepresentationType,WeightVariableReference,Variable
VariableRepresentationType,ImputationReference,GenerationInstruction GeneralInstruction
VariableRepresentationType,ProcessingInstructionReference,GenerationInstruction
VariableRepresentationType,ValueRepresentationReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
VariableRepresentationType,MissingValuesReference,ManagedMissingValuesRepresentation
GenerationType,ComponentReference,Category
AttributeType,AttachmentRegionReference,CoordinateRegionType
NCube,ImputationReference,GenerationInstruction GeneralInstruction
VariablesInRecordType,VariableUsedReference,Variable
CaseSpecificationType,ConditionalVariableReference,Variable
RecordRelationshipType,SourceLogicalRecordReference,LogicalRecordType
RecordRelationshipType,TargetLogicalRecordReference,LogicalRecordType
SourceTargetLinkType,SourceLinkVariableReference,Variable
SourceTargetLinkType,TargetLinkVariableReference,Variable
DefaultMissingValuesType,MissingValuesReference,ManagedMissingValuesRepresentation
RepresentedVariable,ValueRepresentationReference,ManagedTextRepresentation ManagedDateTimeRepresentation ManagedNumericRepresentation ManagedScaleRepresentation ManagedMissingValuesRepresentation
UniverseGroup,GroupingUniverseReference,Universe
UniverseGroup,GroupingConceptReference,Concept
ConceptGroup,GroupingUniverseReference,Universe
ConceptGroup,GroupingConceptReference,Concept
Concept,SubclassOfReference,Concept
SimilarConceptType,SimilarConceptReference,Concept
Universe,DefiningConceptReference,Concept
SubUniverseClass,DefiningConceptReference,Concept
DataSet,IdentifyingVariableReference,Variable
DataSet,DefaultVariableSchemeReference,VariableScheme
BaseRecordLayout,PhysicalStructureLinkReference,PhysicalStructure
RecordLayout,DefaultVariableSchemeReference,VariableScheme
PhysicalRecordSegmentType,KeyVariableReference,Variable
LocalHoldingPackage,DepositoryStudyUnitReference,StudyUnit
LocalHoldingPackage,DepositoryGroupReference,Group
LocalHoldingPackage,DepositoryResourcePackageReference,ResourcePackage
LinkingMapType,LocalObjectReference,Maintainable Versionable IdentifiableType
LinkingMapType,DepositoryObjectReference,Maintainable Versionable IdentifiableType
PhysicalInstance,DefaultMissingValuesReference,ManagedMissingValuesRepresentation
DataFileVersionType,VersionResponsibilityReference,Individual Organization
VariableStatistics,WeightVariableReference,Variable
VariableStatistics,MissingValuesReference,ManagedMissingValuesRepresentation
FilteredCategoryStatisticsType,FilterVariableReference,Variable
